Abgabenbescheid / Zoll;Abgabenbescheid / EUSt;Abgabenbescheid / Gesamtabgabe;Abgabenbescheid / Datum Erstellung
0,00;3,86;3,86;20.02.2024
0,00;4,75;4,75;20.02.2024
17,73;73,55;91,28;20.02.2024
0,00;43,21;43,21;20.02.2024
2,77;8,62;11,39;20.02.2024
0,00;3,05;3,05;20.02.2024
22,12;144,28;166,40;20.02.2024
0,00;7,89;7,89;20.02.2024
0,00;3,86;3,86;20.02.2024
0,00;3,86;3,86;20.02.2024
0,00;665,00;665,00;20.02.2024
0,00;663,48;663,48;20.02.2024
0,00;1657,66;1657,66;20.02.2024
0,00;276,03;276,03;20.02.2024
0,00;602,00;602,00;20.02.2024
0,00;2,85;2,85;20.02.2024
0,00;4,87;4,87;20.02.2024
0,00;103,75;103,75;20.02.2024
0,00;6,65;6,65;20.02.2024
0,00;1950,14;1950,14;20.02.2024
0,00;2283,35;2283,35;20.02.2024
0,00;2,87;2,87;20.02.2024
0,00;0,00;0,00;20.02.2024
0,00;3,04;3,04;20.02.2024
0,00;3,23;3,23;20.02.2024
0,00;180,50;180,50;20.02.2024
0,00;0,00;0,00;20.02.2024
0,00;42,75;42,75;20.02.2024
0,00;3,80;3,80;20.02.2024
0,00;4,75;4,75;20.02.2024
2248,74;13779,13;16027,87;20.02.2024
0,00;48,69;48,69;20.02.2024
0,00;0,00;0,00;20.02.2024
0,00;0,00;0,00;20.02.2024
0,00;3,04;3,04;20.02.2024
119,58;383,36;502,94;20.02.2024
0,00;6,41;6,41;16.02.2024
0,00;28,50;28,50;17.02.2024
0,00;181,62;181,62;16.02.2024
0,00;4510,22;4510,22;16.02.2024
0,00;28,50;28,50;17.02.2024
0,00;3,86;3,86;19.02.2024
0,00;3,86;3,86;19.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;2682,25;2682,25;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;7,46;10,73;19.02.2024
0,00;0,00;0,00;16.02.2024
0,00;72,65;72,65;16.02.2024
0,00;966,46;966,46;19.02.2024
2,10;72,23;74,33;19.02.2024
0,34;2,08;2,42;16.02.2024
0,00;122,21;122,21;16.02.2024
0,00;2563,39;2563,39;19.02.2024
79,32;1536,59;1615,91;19.02.2024
0,00;0,00;0,00;19.02.2024
0,00;3,86;3,86;19.02.2024
0,00;1,12;1,12;19.02.2024
0,00;1,11;1,11;19.02.2024
1,28;1360,61;1361,89;19.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,46;3,46;16.02.2024
0,00;5,47;5,47;16.02.2024
0,00;4,75;4,75;16.02.2024
0,00;3,71;3,71;16.02.2024
0,00;3,86;3,86;19.02.2024
0,00;3,04;3,04;17.02.2024
0,00;3,86;3,86;19.02.2024
0,00;1,37;1,37;16.02.2024
0,00;3,04;3,04;16.02.2024
0,00;2,87;2,87;16.02.2024
37,03;223,48;260,51;17.02.2024
0,00;3,86;3,86;17.02.2024
25,49;408,45;433,94;16.02.2024
0,00;285,86;285,86;17.02.2024
0,00;3,05;3,05;16.02.2024
0,00;4,75;4,75;17.02.2024
0,00;8,90;8,90;16.02.2024
0,00;4,87;4,87;17.02.2024
0,00;4,87;4,87;17.02.2024
0,00;4,87;4,87;17.02.2024
0,00;816,88;816,88;17.02.2024
0,00;3,02;3,02;17.02.2024
0,00;516,60;516,60;17.02.2024
0,00;5,75;10,99;16.02.2024
0,00;0,00;0,00;17.02.2024
26,06;188,30;214,36;19.02.2024
25,24;124,69;149,93;16.02.2024
0,00;38,00;38,00;20.02.2024
0,00;28,50;28,50;16.02.2024
0,00;4,86;4,86;16.02.2024
0,00;3,86;3,86;16.02.2024
0,00;2309,76;2309,76;16.02.2024
0,00;5,56;5,56;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;19094,81;19094,81;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
1,45;220,60;222,05;16.02.2024
0,00;3,04;3,04;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;722,00;722,00;16.02.2024
0,00;1,12;1,12;16.02.2024
0,00;1,09;1,09;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;480,51;480,51;16.02.2024
0,00;1,92;1,92;16.02.2024
0,00;4,75;4,75;16.02.2024
0,00;308,23;308,23;16.02.2024
0,00;4,87;4,87;16.02.2024
0,00;4,87;4,87;16.02.2024
0,00;1,42;1,42;16.02.2024
0,00;1,42;1,42;16.02.2024
0,00;574,37;574,37;16.02.2024
0,00;983,25;983,25;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;21,85;21,85;16.02.2024
0,00;3,46;3,46;16.02.2024
0,00;6,48;6,48;16.02.2024
0,00;927,11;927,11;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;2,10;2,10;16.02.2024
139,56;1294,06;1433,62;21.02.2024
0,00;325,74;325,74;16.02.2024
0,00;1,40;1,40;16.02.2024
0,00;988,91;988,91;16.02.2024
0,00;4,75;4,75;16.02.2024
0,00;3,04;3,04;16.02.2024
0,00;2644,02;2644,02;16.02.2024
0,00;4,75;4,75;16.02.2024
368,77;2263,05;2631,82;20.02.2024
558,65;3798,90;4357,55;20.02.2024
0,00;3,04;3,04;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;3,05;3,05;16.02.2024
0,00;100,97;100,97;16.02.2024
0,00;35,51;35,51;16.02.2024
0,00;2,02;2,02;16.02.2024
0,00;810,35;810,35;16.02.2024
0,00;53,88;53,88;16.02.2024
0,00;24,22;24,22;16.02.2024
0,00;0,20;0,20;16.02.2024
0,00;3,86;3,86;16.02.2024
0,00;3,86;3,86;16.02.2024
0,00;3,86;3,86;16.02.2024
0,00;28,50;28,50;16.02.2024
0,00;109,81;109,81;16.02.2024
0,00;73,48;73,48;16.02.2024
0,00;134,02;134,02;16.02.2024
0,00;3,86;3,86;16.02.2024
0,00;4,87;4,87;16.02.2024
0,00;23,03;23,03;16.02.2024
0,00;109,81;109,81;16.02.2024
0,00;8,90;8,90;16.02.2024
0,00;9,50;9,50;16.02.2024
0,00;40,85;40,85;16.02.2024
0,00;9,74;9,74;16.02.2024
0,00;3,61;3,61;16.02.2024
0,00;0,00;0,00;16.02.2024
0,00;0,00;0,00;16.02.2024
0,00;0,00;0,00;16.02.2024
0,00;0,00;0,00;16.02.2024
0,00;19,93;19,93;16.02.2024
0,00;10,78;10,78;16.02.2024
0,00;4,75;4,75;16.02.2024
0,00;0,00;0,00;16.02.2024
0,00;1101,65;1101,65;15.02.2024
0,00;4,86;4,86;15.02.2024
0,00;28,50;28,50;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;6,25;6,25;15.02.2024
0,00;80,72;80,72;15.02.2024
6,05;51,12;57,17;15.02.2024
0,00;4,87;4,87;15.02.2024
0,00;948,49;948,49;15.02.2024
0,00;1,12;1,12;15.02.2024
0,00;6,65;6,65;15.02.2024
0,00;1,12;1,12;15.02.2024
0,00;1,12;1,12;15.02.2024
0,00;1,12;1,12;15.02.2024
0,00;1,12;1,12;15.02.2024
0,00;1,12;1,12;15.02.2024
0,00;185,79;185,79;15.02.2024
0,00;501,99;501,99;15.02.2024
0,00;3,86;3,86;15.02.2024
0,00;1,11;1,11;15.02.2024
0,00;35,14;35,14;15.02.2024
0,00;3,86;3,86;15.02.2024
0,00;3,86;3,86;15.02.2024
0,00;3,86;3,86;15.02.2024
0,00;1,42;1,42;15.02.2024
0,00;34,20;34,20;15.02.2024
0,00;28,50;28,50;15.02.2024
0,00;1034,09;1034,09;15.02.2024
0,00;2011,00;2011,00;15.02.2024
0,00;3,56;3,56;15.02.2024
0,00;3,36;3,36;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;4,75;4,75;15.02.2024
0,00;984,20;984,20;15.02.2024
0,00;1,01;1,01;15.02.2024
0,00;231,44;231,44;15.02.2024
0,00;0,00;0,00;15.02.2024
0,00;3,86;3,86;15.02.2024
59,30;428,56;487,86;15.02.2024
0,00;1282,88;1282,88;15.02.2024
0,00;159,98;159,98;15.02.2024
0,00;49,29;49,29;15.02.2024
0,00;8,90;8,90;15.02.2024
0,00;12,94;12,94;15.02.2024
0,00;4,87;4,87;15.02.2024
0,00;4,87;4,87;15.02.2024
0,00;2,87;2,87;15.02.2024
0,39;3,53;3,92;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;1,37;1,37;15.02.2024
0,00;1,37;1,37;15.02.2024
26,43;175,31;201,74;15.02.2024
108,34;1735,93;1844,27;15.02.2024
13,10;57,81;70,91;15.02.2024
0,00;3,05;3,05;15.02.2024
0,00;3,80;3,80;15.02.2024
0,00;0,00;0,00;15.02.2024
0,00;88,35;88,35;15.02.2024
0,00;4664,56;4664,56;15.02.2024
0,00;5,32;5,32;15.02.2024
0,00;4,75;4,75;14.02.2024
0,00;28,50;28,50;14.02.2024
0,00;6,01;6,01;14.02.2024
0,00;3,86;3,86;14.02.2024
0,00;3,86;3,86;14.02.2024
0,00;3,86;3,86;14.02.2024
0,00;4,87;4,87;14.02.2024
0,00;1496,07;1496,07;14.02.2024
28,11;323,01;355,01;14.02.2024
126,21;903,51;1029,72;15.02.2024
0,00;4,01;4,01;14.02.2024
25,45;235,12;260,57;13.02.2024
0,22;1675,19;1675,41;14.02.2024
0,00;203,49;203,49;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;28,43;28,43;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;1,18;1,18;14.02.2024
0,00;1,12;1,12;14.02.2024
0,00;1,12;1,12;14.02.2024
0,00;1,12;1,12;14.02.2024
0,00;1,12;1,12;14.02.2024
0,00;1345,66;1345,66;14.02.2024
0,00;1,12;1,12;14.02.2024
0,00;1,16;1,16;14.02.2024
0,00;1,42;1,42;14.02.2024
0,00;1497,23;1497,23;14.02.2024
0,00;20,18;20,18;14.02.2024
0,00;9,39;9,39;13.02.2024
0,00;2,95;2,95;14.02.2024
0,00;3,46;3,46;14.02.2024
1,36;205,70;207,06;14.02.2024
0,00;73,15;73,15;14.02.2024
0,00;1,42;1,42;14.02.2024
0,00;166,92;166,92;14.02.2024
15,73;104,83;120,56;14.02.2024
0,00;33,63;33,63;14.02.2024
57,52;788,22;845,74;14.02.2024
7,50;992,09;1007,36;14.02.2024
72,74;525,67;598,41;14.02.2024
0,00;42,71;42,71;14.02.2024
0,00;356,19;356,19;14.02.2024
0,00;166,84;166,84;14.02.2024
0,00;230,34;230,34;14.02.2024
0,00;642,68;642,68;14.02.2024
126,38;595,72;722,10;14.02.2024
0,00;3,86;3,86;14.02.2024
0,00;648,96;648,96;14.02.2024
0,00;4,75;4,75;14.02.2024
0,00;4,75;4,75;14.02.2024
0,00;2058,04;2058,04;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;3,05;3,05;14.02.2024
0,00;0,00;0,00;14.02.2024
0,00;0,00;0,00;14.02.2024
0,00;0,00;0,00;14.02.2024
0,00;4,75;4,75;14.02.2024
0,00;3,61;3,61;14.02.2024
0,00;2483,04;2483,04;14.02.2024
0,00;25,69;25,69;14.02.2024
0,00;4,70;4,70;13.02.2024
0,00;3,04;3,04;14.02.2024
0,00;3,86;3,86;14.02.2024
0,00;633,19;633,19;14.02.2024
8,06;74,47;82,53;14.02.2024
0,00;3,63;3,63;14.02.2024
30,09;277,98;308,07;14.02.2024
0,00;3,86;3,86;14.02.2024
0,00;3,04;3,04;14.02.2024
0,00;3,02;3,02;14.02.2024
0,00;0,00;0,00;14.02.2024
0,00;50,73;50,73;13.02.2024
0,00;623,38;623,38;13.02.2024
0,00;3,04;3,04;14.02.2024
0,00;310,20;310,20;13.02.2024
0,00;33,30;33,30;13.02.2024
0,00;6,71;6,71;13.02.2024
0,00;28,50;28,50;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;5,95;5,95;13.02.2024
0,00;1756,17;1756,17;13.02.2024
0,00;1506,66;1506,66;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;242,06;242,06;13.02.2024
0,00;186,20;186,20;13.02.2024
0,00;11,21;11,21;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;0,00;0,00;13.02.2024
9,14;80,64;89,78;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;50,73;50,73;13.02.2024
0,00;20,02;20,02;13.02.2024
0,00;2969,84;2969,84;13.02.2024
0,00;305,94;305,94;13.02.2024
0,00;65,58;65,58;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;1,12;1,12;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;1,11;1,11;13.02.2024
0,00;6,89;6,89;13.02.2024
0,00;1,12;1,12;13.02.2024
0,00;1,12;1,12;13.02.2024
0,00;1,12;1,12;13.02.2024
0,00;4,75;4,75;13.02.2024
0,00;719,40;719,40;13.02.2024
0,00;5,85;5,85;13.02.2024
0,00;1,40;1,40;13.02.2024
0,00;5,70;5,70;13.02.2024
0,00;45,60;45,60;13.02.2024
0,00;3,86;3,86;13.02.2024
0,00;3,36;3,36;13.02.2024
0,00;79,61;79,61;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;1168,88;1168,88;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;8,10;8,10;13.02.2024
0,00;63,68;63,68;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;0,00;0,00;13.02.2024
0,00;0,00;0,00;13.02.2024
0,00;0,00;0,00;13.02.2024
0,00;2,86;2,86;13.02.2024
0,00;3,04;3,04;13.02.2024
0,00;3,80;3,80;13.02.2024
0,00;2,42;2,42;13.02.2024
0,00;51,19;51,19;13.02.2024
0,00;3862,70;3862,70;13.02.2024
0,00;176,81;176,81;13.02.2024
0,00;3210,41;3210,41;13.02.2024
0,00;44,40;44,40;13.02.2024
0,00;93,23;93,23;13.02.2024
0,00;1,40;1,40;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;0,00;0,00;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;227,82;227,82;13.02.2024
0,00;3,04;3,04;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;33,06;33,06;13.02.2024
0,00;439,85;439,85;13.02.2024
0,00;63,39;63,39;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;46,06;46,06;13.02.2024
0,00;4,87;4,87;13.02.2024
0,00;809,44;809,44;13.02.2024
0,00;3,86;3,86;13.02.2024
104,23;379,85;484,08;13.02.2024
0,00;1738,38;1738,38;13.02.2024
0,00;7,60;7,60;13.02.2024
0,00;3,05;3,05;13.02.2024
90,28;1026,18;1116,46;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;3,86;3,86;13.02.2024
0,00;4,67;4,67;13.02.2024
206,18;1819,85;2026,03;13.02.2024
0,00;3,25;3,25;13.02.2024
0,00;3,05;3,05;13.02.2024
0,00;194,18;194,18;13.02.2024
0,00;3,66;3,66;13.02.2024
0,00;107,35;107,35;13.02.2024
0,00;356,48;356,48;13.02.2024
0,00;7,41;7,41;13.02.2024
0,00;7,72;7,72;10.02.2024
0,00;3,86;3,86;10.02.2024
0,00;3,86;3,86;10.02.2024
0,00;3,86;3,86;10.02.2024
0,00;28,50;28,50;10.02.2024
0,00;28,50;28,50;10.02.2024
0,00;0,00;0,00;10.02.2024
0,00;2032,24;2032,24;10.02.2024
0,00;6,21;6,21;10.02.2024
0,00;4,87;4,87;10.02.2024
0,00;1370,96;1370,96;12.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,86;3,86;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;4,87;4,87;10.02.2024
0,00;3,05;3,05;10.02.2024
0,00;6,65;6,65;10.02.2024
0,00;1,13;1,13;10.02.2024
0,00;1,12;1,12;10.02.2024
0,00;1,12;1,12;10.02.2024
0,00;1,12;1,12;10.02.2024
0,00;1,12;1,12;10.02.2024
