Abgabenbescheid / Datum Erstellung;Abgabenbescheid / Gesamtabgabe;Abgabenbescheid / EUSt;Abgabenbescheid / Zoll
11.10.2018;0,00;0,00;0,00
04.10.2018;1270,82;0,00;1270,82
05.10.2018;6495,51;4237,16;2258,35
05.10.2018;327,02;327,02;0,00
05.10.2018;3016,34;3016,34;0,00
04.10.2018;3128,63;2040,82;1087,81
04.10.2018;1734,52;1132,53;601,99
03.10.2018;0,00;0,00;0,00
03.10.2018;131,64;131,64;0,00
03.10.2018;523,63;523,63;0,00
09.10.2018;212,48;0,00;212,48
09.10.2018;355,55;0,00;355,55
11.10.2018;448,17;0,00;448,17
11.10.2018;457,91;0,00;457,91
08.10.2018;5794,97;3789,22;2005,75
11.10.2018;329,11;0,00;329,11
11.10.2018;19842,82;0,00;6435,51
11.10.2018;1064,18;0,00;1064,18
11.10.2018;110,49;0,00;110,49
19.10.2018;979,49;0,00;979,49
17.10.2018;0,00;0,00;0,00
15.10.2018;3051,89;3051,89;0,00
15.10.2018;4223,78;2757,27;1466,51
18.10.2018;1450,26;0,00;1450,26
18.10.2018;1273,59;0,00;1273,59
25.10.2018;661,51;0,00;661,51
23.10.2018;415,72;0,00;415,72
23.10.2018;0,00;0,00;0,00
24.10.2018;0,00;0,00;0,00
24.10.2018;0,00;0,00;0,00
24.10.2018;0,00;0,00;0,00
24.10.2018;0,00;0,00;0,00
25.10.2018;508,96;0,00;508,96
24.10.2018;269,77;0,00;269,77
26.10.2018;398,39;0,00;398,39
30.10.2018;550,56;0,00;550,56
26.10.2018;3560,54;2326,79;1233,75
26.10.2018;1417,20;926,35;490,85
02.11.2018;0,00;0,00;0,00
29.10.2018;5686,42;3719,81;1966,61
30.10.2018;0,00;0,00;0,00
30.10.2018;0,00;0,00;0,00
30.10.2018;0,00;0,00;0,00
30.10.2018;0,00;0,00;0,00
30.10.2018;230,10;0,00;230,10
05.11.2018;0,00;0,00;0,00
15.11.2018;0,00;0,00;0,00
07.11.2018;2949,22;1904,06;1045,16
19.11.2018;802,18;0,00;802,18
08.11.2018;1835,97;0,00;1835,97
04.12.2018;0,00;0,00;0,00
09.11.2018;249,94;0,00;249,94
09.11.2018;217,67;0,00;217,67
09.11.2018;1922,14;1392,41;529,73
09.11.2018;5693,97;3726,52;1967,45
21.11.2018;1264,87;1264,87;0,00
21.11.2018;5132,20;3365,41;1766,79
26.11.2018;906,71;0,00;906,71
29.11.2018;0,00;0,00;0,00
29.11.2018;0,00;0,00;0,00
29.11.2018;447,98;0,00;447,98
28.11.2018;475,37;0,00;475,37
29.11.2018;0,00;0,00;0,00
05.12.2018;0,00;0,00;0,00
05.12.2018;0,00;0,00;0,00
12.12.2018;0,00;0,00;0,00
12.12.2018;1089,18;0,00;1089,18
03.12.2018;542,58;0,00;542,58
06.12.2018;227,03;0,00;227,03
06.12.2018;347,72;0,00;347,72
06.12.2018;319,07;0,00;319,07
11.12.2018;711,06;0,00;357,48
13.12.2018;636,26;636,26;0,00
13.12.2018;2167,25;2167,25;0,00
13.12.2018;1789,20;1176,62;612,58
13.12.2018;3058,22;2012,34;1045,88
17.12.2018;0,00;0,00;0,00
17.12.2018;0,00;0,00;0,00
19.12.2018;1157,67;0,00;1157,67
20.12.2018;1075,29;0,00;1075,29
27.12.2018;469,43;0,00;469,43
05.01.2019;1366,38;0,00;1366,38
01.01.2019;4383,84;0,00;4383,84
03.01.2019;144,91;0,00;144,91
03.01.2019;450,38;0,00;450,38
03.01.2019;1129,43;0,00;1129,43
09.01.2019;0,00;0,00;0,00
17.01.2019;1019,19;0,00;1019,19
04.01.2019;1423,75;932,22;491,53
04.01.2019;3035,66;1983,95;1051,71
04.01.2019;3787,41;3787,41;0,00
12.01.2019;480,34;0,00;480,34
08.01.2019;812,45;0,00;812,45
15.01.2019;0,00;0,00;0,00
09.01.2019;0,00;0,00;0,00
10.01.2019;1609,42;1100,87;508,55
10.01.2019;482,25;0,00;482,25
14.01.2019;19446,18;14129,43;5316,75
24.01.2019;0,00;0,00;0,00
24.01.2019;1215,26;0,00;1215,26
21.01.2019;19446,18;14129,43;5316,75
21.01.2019;670,00;0,00;670,00
28.01.2019;1203,83;0,00;1203,83
25.01.2019;372,34;0,00;372,34
28.01.2019;394,71;0,00;394,71
29.01.2019;176,14;114,85;61,29
29.01.2019;1112,20;724,58;387,62
29.01.2019;3375,88;3375,88;0,00
29.01.2019;5608,41;5608,41;0,00
29.01.2019;468,59;0,00;468,59
15.02.2019;441,92;0,00;441,92
05.02.2019;2117,95;0,00;2117,95
01.02.2019;8486,07;0,00;8486,07
04.02.2019;18582,08;13501,58;5080,50
07.02.2019;0,00;0,00;0,00
10.02.2019;0,00;0,00;0,00
15.02.2019;0,00;0,00;0,00
12.02.2019;302,10;0,00;302,10
14.02.2019;0,00;0,00;0,00
14.02.2019;0,00;0,00;0,00
14.02.2019;0,00;0,00;0,00
15.02.2019;232,77;232,77;0,00
15.02.2019;1748,03;1333,33;414,70
19.02.2019;1412,40;0,00;1412,40
18.02.2019;18582,08;13501,58;5080,50
18.02.2019;508,39;0,00;508,39
19.02.2019;3802,09;3802,09;0,00
19.02.2019;4345,91;2845,41;1500,50
20.02.2019;395,88;0,00;395,88
25.02.2019;4566,54;0,00;4566,54
27.02.2019;1016,63;699,92;316,71
27.02.2019;659,81;0,00;659,81
04.03.2019;276,61;0,00;276,61
07.03.2019;1042,17;0,00;1042,17
07.03.2019;0,00;0,00;0,00
04.03.2019;604,88;604,88;0,00
04.03.2019;2478,63;1626,37;852,26
04.03.2019;3301,88;2162,60;1139,28
07.03.2019;827,10;0,00;827,10
06.03.2019;1169,61;0,00;1169,61
08.03.2019;401,35;0,00;401,35
12.03.2019;542,51;0,00;542,51
14.03.2019;19,01;0,00;19,01
18.03.2019;1200,45;1200,45;0,00
18.03.2019;1499,47;1499,47;0,00
18.03.2019;2203,61;1501,63;701,98
18.03.2019;2027,38;1377,18;650,20
22.03.2019;1451,83;0,00;1451,83
22.03.2019;805,75;0,00;805,75
27.03.2019;354,52;0,00;354,52
26.03.2019;0,00;0,00;0,00
09.04.2019;735,87;0,00;735,87
26.03.2019;4283,95;2808,29;1475,66
26.03.2019;511,34;335,20;176,14
26.03.2019;2226,06;2226,06;0,00
28.03.2019;199,88;0,00;199,88
02.04.2019;659,79;0,00;659,79
28.03.2019;0,00;0,00;0,00
03.04.2019;0,00;0,00;0,00
01.04.2019;2028,19;1338,39;689,80
01.04.2019;3308,09;2174,57;1133,52
01.04.2019;387,82;387,82;0,00
01.04.2019;929,83;929,83;0,00
02.04.2019;0,00;0,00;0,00
08.04.2019;1146,59;1146,59;0,00
09.04.2019;7670,40;4982,44;2687,96
08.04.2019;1639,59;0,00;1639,59
09.04.2019;6688,74;4344,86;2343,88
09.04.2019;1541,98;1003,87;538,11
09.04.2019;929,87;929,87;0,00
09.04.2019;388,10;388,10;0,00
12.04.2019;2766,37;0,00;2766,37
11.04.2019;642,74;0,00;642,74
18.04.2019;0,00;0,00;0,00
27.04.2019;0,00;0,00;0,00
18.04.2019;0,00;0,00;0,00
18.04.2019;657,08;0,00;657,08
24.04.2019;1208,61;788,22;420,39
24.04.2019;7365,34;4794,89;2570,45
26.04.2019;0,00;0,00;0,00
30.04.2019;0,00;0,00;0,00
26.04.2019;0,00;0,00;0,00
25.04.2019;0,00;0,00;0,00
26.04.2019;0,00;0,00;0,00
23.04.2019;2482,48;0,00;2482,48
30.04.2019;187,94;0,00;187,94
29.04.2019;152,90;0,00;152,90
27.04.2019;2030,41;0,00;2030,41
29.04.2019;963,31;663,86;299,45
02.05.2019;255,72;255,72;0,00
02.05.2019;1506,93;1506,93;0,00
02.05.2019;2703,56;1770,14;933,42
02.05.2019;2314,70;1517,56;797,14
03.05.2019;88,86;0,00;88,86
08.05.2019;0,00;0,00;0,00
10.05.2019;1672,97;0,00;1672,97
15.05.2019;959,50;0,00;959,50
10.05.2019;1971,16;0,00;1971,16
14.05.2019;0,00;0,00;0,00
10.05.2019;0,00;0,00;0,00
15.05.2019;443,04;0,00;443,04
16.05.2019;1160,97;0,00;1160,97
15.05.2019;0,00;0,00;0,00
17.05.2019;0,00;0,00;0,00
15.05.2019;0,00;0,00;0,00
24.05.2019;0,00;0,00;0,00
16.05.2019;0,00;0,00;0,00
17.05.2019;0,00;0,00;0,00
24.05.2019;0,00;0,00;0,00
22.05.2019;0,00;0,00;0,00
17.05.2019;0,00;0,00;0,00
16.05.2019;0,00;0,00;0,00
16.05.2019;0,00;0,00;0,00
17.05.2019;0,00;0,00;0,00
16.05.2019;0,00;0,00;0,00
16.05.2019;0,00;0,00;0,00
17.05.2019;0,00;0,00;0,00
17.05.2019;465,70;0,00;465,70
22.05.2019;0,00;0,00;0,00
22.05.2019;0,00;0,00;0,00
24.05.2019;0,00;0,00;0,00
29.05.2019;1386,20;0,00;1386,20
20.05.2019;385,79;385,79;0,00
20.05.2019;891,27;891,27;0,00
20.05.2019;767,29;502,39;264,90
20.05.2019;4302,44;2825,05;1477,39
22.05.2019;2807,01;0,00;2807,01
21.05.2019;0,00;0,00;0,00
23.05.2019;1028,29;0,00;1028,29
24.05.2019;1959,93;0,00;1959,93
23.05.2019;867,91;0,00;867,91
27.05.2019;1542,14;1542,14;0,00
27.05.2019;5022,98;3296,28;1726,70
07.06.2019;0,00;0,00;0,00
29.05.2019;0,00;0,00;0,00
31.05.2019;0,00;0,00;0,00
31.05.2019;0,00;0,00;0,00
31.05.2019;0,00;0,00;0,00
07.06.2019;0,00;0,00;0,00
07.06.2019;0,00;0,00;0,00
06.06.2019;0,00;0,00;0,00
27.05.2019;550,67;0,00;550,67
01.06.2019;1801,16;0,00;1801,16
28.05.2019;0,00;0,00;0,00
01.06.2019;579,14;0,00;579,14
29.05.2019;2711,60;0,00;2711,60
01.06.2019;714,61;0,00;714,61
31.05.2019;371,13;0,00;371,13
03.06.2019;3197,00;0,00;3197,00
04.06.2019;8823,75;5749,17;3074,58
04.06.2019;709,22;0,00;709,22
05.06.2019;1005,59;0,00;1005,59
05.06.2019;1319,93;0,00;1319,93
05.06.2019;243,82;0,00;243,82
05.06.2019;618,79;0,00;618,79
13.06.2019;0,00;0,00;0,00
06.06.2019;0,00;0,00;0,00
11.06.2019;0,00;0,00;0,00
10.06.2019;2160,83;0,00;2160,83
08.06.2019;2153,27;0,00;2153,27
08.06.2019;739,38;0,00;739,38
10.06.2019;2392,75;1553,84;838,91
10.06.2019;3361,36;2200,38;1160,98
10.06.2019;3061,56;3061,56;0,00
11.06.2019;2534,38;0,00;2534,38
13.06.2019;1360,75;0,00;1360,75
12.06.2019;485,09;0,00;485,09
13.06.2019;991,67;0,00;745,07
17.06.2019;77,65;0,00;77,65
18.06.2019;609,26;0,00;609,26
17.06.2019;95,19;0,00;95,19
19.06.2019;507,43;0,00;507,43
18.06.2019;6154,34;4011,01;2143,33
18.06.2019;1498,45;981,75;516,70
18.06.2019;1452,16;1452,16;0,00
21.06.2019;0,00;0,00;0,00
22.06.2019;1599,95;0,00;1469,89
25.06.2019;2077,35;0,00;2077,35
24.06.2019;3280,18;2146,32;1133,86
24.06.2019;3028,80;1977,40;1051,40
24.06.2019;2148,49;2148,49;0,00
26.06.2019;863,63;0,00;863,63
26.06.2019;0,00;0,00;0,00
04.07.2019;0,00;0,00;0,00
26.06.2019;0,00;0,00;0,00
04.07.2019;0,00;0,00;0,00
27.06.2019;0,00;0,00;0,00
26.06.2019;0,00;0,00;0,00
27.06.2019;0,00;0,00;0,00
27.06.2019;0,00;0,00;0,00
05.07.2019;0,00;0,00;0,00
04.07.2019;0,00;0,00;0,00
26.06.2019;387,84;0,00;387,84
27.06.2019;0,00;0,00;0,00
28.06.2019;1855,85;0,00;1855,85
26.06.2019;0,00;0,00;0,00
26.06.2019;630,02;437,56;192,46
26.06.2019;726,84;503,05;223,79
28.06.2019;3837,64;0,00;3837,64
05.07.2019;681,80;0,00;681,80
28.06.2019;1222,04;0,00;1222,04
02.07.2019;868,55;0,00;868,55
01.07.2019;795,83;795,83;0,00
01.07.2019;3926,56;2568,71;1357,85
01.07.2019;3932,41;2564,95;1367,46
01.07.2019;1693,01;0,00;1693,01
03.07.2019;0,00;0,00;0,00
03.07.2019;0,00;0,00;0,00
03.07.2019;534,29;373,68;160,61
05.07.2019;1076,27;0,00;600,23
08.07.2019;986,76;0,00;986,76
08.07.2019;0,00;0,00;0,00
08.07.2019;459,88;0,00;459,88
08.07.2019;524,95;0,00;524,95
15.07.2019;0,00;0,00;0,00
12.07.2019;1192,94;1192,94;0,00
12.07.2019;7219,83;4710,37;2509,46
17.07.2019;8406,91;0,00;8406,91
17.07.2019;0,00;0,00;0,00
26.07.2019;2268,60;0,00;2268,60
30.07.2019;0,00;0,00;0,00
18.07.2019;264,54;0,00;264,54
18.07.2019;724,60;0,00;724,60
22.07.2019;2354,53;1534,42;820,11
22.07.2019;1927,99;1927,99;0,00
22.07.2019;3128,21;2046,34;1081,87
22.07.2019;1673,16;1673,16;0,00
24.07.2019;432,00;0,00;432,00
26.07.2019;1837,67;0,00;1837,67
26.07.2019;0,00;0,00;0,00
25.07.2019;712,11;0,00;712,11
29.07.2019;2313,53;0,00;2313,53
29.07.2019;648,26;0,00;648,26
29.07.2019;1862,62;1862,62;0,00
29.07.2019;7549,54;4911,35;2638,19
26.07.2019;0,00;0,00;0,00
26.07.2019;0,00;0,00;0,00
26.07.2019;0,00;0,00;0,00
26.07.2019;0,00;0,00;0,00
01.08.2019;0,00;0,00;0,00
01.08.2019;0,00;0,00;0,00
01.08.2019;0,00;0,00;0,00
01.08.2019;492,82;0,00;492,82
01.08.2019;222,13;0,00;222,13
07.08.2019;668,39;0,00;668,39
02.08.2019;0,00;0,00;0,00
02.08.2019;0,00;0,00;0,00
02.08.2019;0,00;0,00;0,00
02.08.2019;0,00;0,00;0,00
02.08.2019;0,00;0,00;0,00
02.08.2019;0,00;0,00;0,00
06.08.2019;0,00;0,00;0,00
06.08.2019;0,00;0,00;0,00
06.08.2019;0,00;0,00;0,00
06.08.2019;0,00;0,00;0,00
05.08.2019;0,00;0,00;0,00
06.08.2019;0,00;0,00;0,00
07.08.2019;0,00;0,00;0,00
06.08.2019;0,00;0,00;0,00
05.08.2019;6420,27;4187,23;2233,04
05.08.2019;2429,63;1589,97;839,66
07.08.2019;756,85;0,00;756,85
07.08.2019;613,78;0,00;613,78
09.08.2019;1100,46;0,00;1100,46
12.08.2019;0,00;0,00;0,00
08.08.2019;816,03;0,00;816,03
08.08.2019;0,00;0,00;0,00
08.08.2019;0,00;0,00;0,00
09.08.2019;0,00;0,00;0,00
09.08.2019;1718,19;0,00;1718,19
09.08.2019;680,91;0,00;680,91
14.08.2019;6295,01;4098,17;2196,84
12.08.2019;2803,20;2803,20;0,00
12.08.2019;0,00;0,00;0,00
19.08.2019;1233,80;0,00;1233,80
22.08.2019;2105,71;0,00;2105,71
14.08.2019;3353,53;2184,72;1168,81
14.08.2019;3939,74;2573,57;1366,17
14.08.2019;1885,89;1885,89;0,00
14.08.2019;393,18;0,00;393,18
15.08.2019;478,32;0,00;478,32
16.08.2019;20,07;0,00;20,07
16.08.2019;357,47;0,00;357,47
19.08.2019;4749,22;3096,76;1652,46
19.08.2019;938,15;938,15;0,00
19.08.2019;1991,80;1300,86;690,94
19.08.2019;1581,01;1581,01;0,00
21.08.2019;0,00;0,00;0,00
22.08.2019;920,25;0,00;920,25
23.08.2019;386,67;0,00;386,67
28.08.2019;1349,52;0,00;1349,52
29.08.2019;0,00;0,00;0,00
29.08.2019;0,00;0,00;0,00
02.09.2019;455,01;0,00;455,01
30.08.2019;314,45;0,00;314,45
30.08.2019;0,00;0,00;0,00
31.08.2019;626,87;0,00;626,87
05.09.2019;0,00;0,00;0,00
06.09.2019;0,00;0,00;0,00
04.09.2019;984,24;0,00;984,24
05.09.2019;435,03;0,00;435,03
05.09.2019;0,00;0,00;0,00
19.09.2019;462,95;0,00;462,95
11.09.2019;102,11;0,00;102,11
11.09.2019;287,77;0,00;287,77
13.09.2019;1914,30;0,00;1914,30
10.09.2019;581,39;0,00;581,39
10.09.2019;252,98;0,00;252,98
16.09.2019;1163,19;0,00;1163,19
13.09.2019;400,78;0,00;400,78
16.09.2019;0,00;0,00;0,00
16.09.2019;7545,29;4921,89;2623,40
16.09.2019;799,55;799,55;0,00
16.09.2019;3490,37;2310,53;1179,84
17.09.2019;183,21;145,52;37,69
19.09.2019;589,52;0,00;589,52
19.09.2019;904,26;0,00;904,26
18.09.2019;1111,21;0,00;1111,21
19.09.2019;909,26;0,00;909,26
04.10.2019;0,00;0,00;0,00
26.09.2019;120,55;0,00;120,55
23.09.2019;1635,34;1064,79;570,55
23.09.2019;291,67;291,67;0,00
23.09.2019;6256,60;4085,81;2170,79
23.09.2019;700,16;700,16;0,00
23.09.2019;425,95;0,00;425,95
26.09.2019;688,31;0,00;688,31
27.09.2019;281,91;0,00;281,91
27.09.2019;449,13;0,00;449,13
25.09.2019;0,00;0,00;0,00
04.10.2019;427,30;0,00;427,30
01.10.2019;1619,44;1619,44;0,00
01.10.2019;4241,17;2769,27;1471,90
01.10.2019;2808,58;1833,40;975,18
04.10.2019;542,13;0,00;542,13
02.10.2019;233,90;0,00;233,90
02.10.2019;962,45;0,00;962,45
04.10.2019;562,60;0,00;562,60
04.10.2019;594,53;0,00;594,53
09.10.2019;475,22;0,00;475,22
04.10.2019;63,24;0,00;63,24
05.10.2019;1098,88;0,00;1098,88
10.10.2019;0,00;0,00;0,00
10.10.2019;0,00;0,00;0,00
10.10.2019;0,00;0,00;0,00
09.10.2019;73,86;0,00;73,86
11.10.2019;224,96;0,00;224,96
16.10.2019;22,34;0,00;22,34
09.10.2019;1412,74;0,00;1412,74
10.10.2019;508,04;0,00;508,04
17.10.2019;1360,39;0,00;1360,39
17.10.2019;1093,73;0,00;1093,73
11.10.2019;331,73;0,00;331,73
17.10.2019;304,93;0,00;304,93
10.10.2019;434,78;0,00;434,78
14.10.2019;816,45;0,00;816,45
11.10.2019;494,68;0,00;494,68
14.10.2019;2432,37;1587,40;844,97
14.10.2019;4198,54;2733,78;1464,76
11.10.2019;2917,71;2917,71;0,00
16.10.2019;0,00;0,00;0,00
16.10.2019;0,00;0,00;0,00
16.10.2019;0,00;0,00;0,00
18.10.2019;730,33;0,00;730,33
24.10.2019;1299,49;0,00;1299,49
23.10.2019;905,44;0,00;905,44
24.10.2019;347,97;0,00;347,97
24.10.2019;292,62;0,00;292,62
05.11.2019;632,56;0,00;632,56
06.11.2019;478,90;0,00;478,90
24.10.2019;324,83;0,00;324,83
25.10.2019;853,30;0,00;853,30
28.10.2019;0,00;0,00;0,00
28.10.2019;4049,24;2633,28;1415,96
28.10.2019;4398,07;2860,18;1537,89
28.10.2019;800,92;800,92;0,00
29.10.2019;266,22;0,00;266,22
30.10.2019;1179,04;0,00;1179,04
01.11.2019;720,29;0,00;720,29
30.10.2019;391,31;0,00;391,31
05.11.2019;1888,41;0,00;1888,41
08.11.2019;505,75;0,00;505,75
05.11.2019;2017,85;0,00;2017,85
04.11.2019;272,27;0,00;272,27
01.11.2019;0,00;0,00;0,00
04.11.2019;322,36;322,36;0,00
04.11.2019;6342,58;4132,76;2209,82
04.11.2019;2660,40;1737,75;922,65
12.11.2019;369,00;0,00;369,00
08.11.2019;455,48;0,00;455,48
08.11.2019;304,48;0,00;304,48
06.11.2019;0,00;0,00;0,00
07.11.2019;0,00;0,00;0,00
06.11.2019;0,00;0,00;0,00
06.11.2019;0,00;0,00;0,00
07.11.2019;0,00;0,00;0,00
07.11.2019;205,68;0,00;205,68
